date,type,weighted_return,weighted_rolling_return
2024-10-03,Altcoin,-2.8311495341449424,-0.8284124952841976
2024-10-03,BTC,-0.3566604799017714,-0.5480769034135381
2024-10-03,ETH,-3.5242034355751906,-1.189023661920677
2024-10-04,Altcoin,-1.1774775205260062,-1.473350822633246
2024-10-04,BTC,0.11920450486726519,-0.9786915572948481
2024-10-04,ETH,-0.7283095403867956,-1.5832816239269512
2024-10-05,Altcoin,3.213129243607422,-1.2640147503614425
2024-10-05,BTC,2.264440788224431,-0.8000148899810045
2024-10-05,ETH,2.934984099980942,-1.5291188104566567
2024-10-06,Altcoin,0.08439746776647467,-1.284843559328657
2024-10-06,BTC,-0.01783792372410664,-0.8336366647288287
2024-10-06,ETH,-0.06266623677604333,-1.4429062740934013
2024-10-07,Altcoin,1.7586956084785719,-1.0726624042102118
2024-10-07,BTC,1.1593569614392951,-0.6094238788874529
2024-10-07,ETH,0.9367832687313449,-1.199241026168815
2024-10-08,Altcoin,-0.8545865771662223,-0.5383946990626589
2024-10-08,BTC,-0.8348902997140861,-0.202111412101545
2024-10-08,ETH,-0.626746411207979,-0.954301669682137
2024-10-09,Altcoin,0.626887783710122,0.12248115938294915
2024-10-09,BTC,-0.16401342423698617,0.3099428752791487
2024-10-09,ETH,0.7724496283497473,-0.0425298038405678
2024-10-10,Altcoin,-1.803622195810528,0.258051755593482
2024-10-10,BTC,-2.5537896325601883,-0.003932717957767983
2024-10-10,ETH,-3.024825983576407,0.028809832159258444
2024-10-11,Altcoin,-0.7029533569696391,0.3242488491195792
2024-10-11,BTC,-0.6633475591379279,-0.11572586995850985
2024-10-11,ETH,0.5983494543219114,0.21833254568907373
2024-10-12,Altcoin,3.2837889225624735,0.3348301876076489
2024-10-12,BTC,3.650059221153068,0.08221962045986686
2024-10-12,ETH,2.264358457722704,0.12252888250932546
2024-10-13,Altcoin,1.1118648020512278,0.4886214377539537
2024-10-13,BTC,1.3069394929447364,0.27147353712684447
2024-10-13,ETH,1.720203886741034,0.3772246144403365
2024-10-14,Altcoin,-0.19535228074062144,0.21166614063437764
2024-10-14,BTC,-0.5984025879554933,0.0203650300704461
2024-10-14,ETH,-0.43397821732293895,0.18140154500401026
2024-10-15,Altcoin,3.705123617294481,0.8519226812576638
2024-10-15,BTC,5.125712466817767,0.871879711003568
2024-10-15,ETH,6.552605410551604,1.2070232338268079
2024-10-16,Altcoin,-0.7331346110580333,0.6583436832558396
2024-10-16,BTC,1.3811129264957867,1.0926120468225355
2024-10-16,ETH,-1.0054513434093693,0.9530373807183626
2024-10-17,Altcoin,0.9392071185979467,1.0521447711365912
2024-10-17,BTC,1.0234490482304848,1.6036461440783458
2024-10-17,ETH,0.3698629642274298,1.4379929446903392
2024-10-18,Altcoin,-1.485884978342995,0.9437841290838642
2024-10-18,BTC,-0.47221060522393277,1.6309514232089166
2024-10-18,ETH,-0.32851653424371685,1.3055835177523925
2024-10-19,Altcoin,2.3330219258615803,0.8134607337195401
2024-10-19,BTC,1.6895083146856615,1.3508727222850017
2024-10-19,ETH,1.5380091642475113,1.201819332970222
2024-10-20,Altcoin,1.0084804211842728,0.8163112490494263
2024-10-20,BTC,-0.11209701734079536,1.14815322081564
2024-10-20,ETH,0.25812957117505864,0.9929515736036542
2024-10-21,Altcoin,1.993266742800869,1.1249327546688734
2024-10-21,BTC,0.8392562707655538,1.3535330577757894
2024-10-21,ETH,3.5087010659073714,1.5561914712079843
2024-10-22,Altcoin,-0.6157185212894206,0.5026403186865596
2024-10-22,BTC,-2.2736471831771854,0.2964816792050819
2024-10-22,ETH,-2.8154703811361204,0.21789492953830925
2024-10-23,Altcoin,-0.5502028038888599,0.525614778773998
2024-10-23,BTC,-0.06500469574240997,0.08989344745676808
2024-10-23,ETH,-1.731855527121684,0.11412290329369286
2024-10-24,Altcoin,-0.26329774865252675,0.36170313520611885
2024-10-24,BTC,-0.9904521015685952,-0.19780671680024334
2024-10-24,ETH,-3.644171659547324,-0.4593106143884148
2024-10-25,Altcoin,2.004287502497271,0.8711923889979137
2024-10-25,BTC,2.294530500419234,0.19744201257735192
2024-10-25,ETH,0.4805739264826414,-0.34372626285607794
2024-10-26,Altcoin,-5.626389907432158,-0.2793777190918413
