type,date,vol_24hr,total_daily_vol,daily_%_vol
Altcoin,2025-04-07,15032607291.48204,74658468750.32703,20.14
Altcoin,2025-04-08,35331949128.08125,167658421597.2343,21.07
Altcoin,2025-04-09,19113070209.39064,89376886202.00171,21.38
Altcoin,2025-04-10,26622135772.59975,155619945969.56537,17.11
Altcoin,2025-04-11,15004224986.302195,76704121069.65944,19.56
Altcoin,2025-04-12,12259592199.183949,66268243867.73496,18.5
Altcoin,2025-04-13,12207871904.207266,46393373030.75275,26.31
Altcoin,2025-04-14,12499683438.878838,55005810833.42204,22.72
Altcoin,2025-04-15,12981267287.589186,61552570256.753296,21.09
Altcoin,2025-04-16,10498460765.492321,47369657408.29489,22.16
Altcoin,2025-04-17,12392880776.653332,52461074804.32293,23.62
Altcoin,2025-04-18,9680234771.168245,38441234867.17872,25.18
Altcoin,2025-04-19,6763610608.583578,21568380558.243504,31.36
Altcoin,2025-04-20,6435643795.565638,24220253855.772865,26.57
Altcoin,2025-04-21,7383256476.329137,26704868482.667274,27.65
Altcoin,2025-04-22,11963724176.360956,67308811870.03099,17.77
Altcoin,2025-04-23,16714997566.866926,94828970233.18427,17.63
Altcoin,2025-04-24,19529018118.908245,81529711229.18646,23.95
Altcoin,2025-04-25,16876998428.02308,59831540799.08908,28.21
Altcoin,2025-04-26,16334870101.827206,71327803145.65506,22.9
Altcoin,2025-04-27,10721524321.545807,36460531957.10959,29.41
Altcoin,2025-04-28,10980872385.495407,36539589821.66021,30.05
Altcoin,2025-04-29,15323469120.207928,64014668162.63626,23.94
Altcoin,2025-04-30,10833777867.627884,50710966278.0255,21.36
Altcoin,2025-05-01,11643193786.767464,51829521179.419495,22.46
Altcoin,2025-05-02,11303834804.266155,55821966798.78768,20.25
Altcoin,2025-05-03,9858027447.961302,44820705085.94003,21.99
Altcoin,2025-05-04,6334292562.496,26836837904.96347,23.6
Altcoin,2025-05-05,7001500143.890905,29384468838.336117,23.83
Altcoin,2025-05-06,9466129511.614737,44097819293.16645,21.47
Altcoin,2025-05-07,10268851534.004423,45567297877.603546,22.54
Altcoin,2025-05-08,12960049555.945686,124447440707.52536,10.41
Altcoin,2025-05-09,22999167367.194435,109012040162.90446,21.1
Altcoin,2025-05-10,26104822675.9115,111472497040.69254,23.42
Altcoin,2025-05-11,20194904625.049774,71701807324.12112,28.17
Altcoin,2025-05-12,19564195482.051,73091917941.73894,26.77
Altcoin,2025-05-13,34869928850.107994,109485160784.4527,31.85
Altcoin,2025-05-14,22575817819.878796,88717146221.02483,25.45
Altcoin,2025-05-15,19317277048.784904,75865757086.51486,25.46
Altcoin,2025-05-16,19777983009.967976,77812758041.02379,25.42
Altcoin,2025-05-17,14847525185.399912,61865919902.51393,24.0
Altcoin,2025-05-18,11336377986.143616,47471944887.32502,23.88
Altcoin,2025-05-19,15478885806.411575,71020380458.57863,21.79
Altcoin,2025-05-20,15913824103.522444,84617429532.09836,18.81
Altcoin,2025-05-21,14351080068.47164,73616229898.13965,19.49
Altcoin,2025-05-22,20049729859.733387,113470090501.12033,17.67
Altcoin,2025-05-23,21478324759.167328,103289345075.12479,20.79
Altcoin,2025-05-24,24474579912.364727,103773654941.83304,23.58
Altcoin,2025-05-25,9781165702.429111,47654390240.13896,20.53
Altcoin,2025-05-26,11411311768.281204,54878669283.05621,20.79
Altcoin,2025-05-27,9719958371.059492,51020683543.272,19.05
Altcoin,2025-05-28,12510238275.562197,77923173639.70227,16.05
Altcoin,2025-05-29,11018232725.196512,58821099348.765564,18.73
Altcoin,2025-05-30,12370382577.268879,77671055805.35596,15.93
Altcoin,2025-05-31,16359063799.381332,78966273467.29623,20.72
Altcoin,2025-06-01,10891722400.187443,44331168213.47034,24.57
Altcoin,2025-06-02,7905553121.578882,36965394200.22526,21.39
Altcoin,2025-06-03,9335976054.29501,51273786845.45321,18.21
Altcoin,2025-06-04,10607272217.664278,52487942069.08285,20.21
Altcoin,2025-06-05,8342215842.754652,50963965851.729034,16.37
Altcoin,2025-06-06,14843639380.75679,80405153672.42836,18.46
Altcoin,2025-06-07,10137115556.25351,58429614464.82016,17.35
Altcoin,2025-06-08,6392279823.872754,33677437947.295097,18.98
Altcoin,2025-06-09,7481227388.071616,33732800199.878975,22.18
Altcoin,2025-06-10,11615250049.219164,69323978012.00978,16.76
Altcoin,2025-06-11,14667010494.008984,89252059820.69496,16.43
Altcoin,2025-06-12,14848778606.996778,72556746076.17203,20.47
Altcoin,2025-06-13,11543111807.283945,73477264888.64241,15.71
Altcoin,2025-06-14,19506056396.317776,107553543648.06952,18.14
Altcoin,2025-06-15,7588212594.961278,37581656085.11908,20.19
Altcoin,2025-06-16,8052610470.11354,36299964752.27392,22.18
Altcoin,2025-06-17,15849185128.865192,72167291789.76183,21.96
Altcoin,2025-06-18,14530897881.086668,79060616600.01633,18.38
Altcoin,2025-06-19,11801045661.474136,59941093324.872284,19.69
Altcoin,2025-06-20,8307038854.256867,36762795353.56502,22.6
Altcoin,2025-06-21,12071204646.733604,63186772535.43574,19.1
Altcoin,2025-06-22,10546622478.737629,48346697442.30549,21.81
Altcoin,2025-06-23,19185563234.873516,98654148157.21466,19.45
Altcoin,2025-06-24,18614057099.912033,94120149629.01662,19.78
Altcoin,2025-06-25,13086923602.967243,64460589748.87191,20.3
Altcoin,2025-06-26,10648606081.278728,56629936728.576004,18.8
Altcoin,2025-06-27,11253188912.904896,51845699964.77992,21.71
Altcoin,2025-06-28,10239837494.979826,48534969374.685234,21.1
