price,market_cap,vol_24hr,date,ticker,type,daily_return,rolling_returns
92251.65240738312,1825195454018.501,80493234958.49161,2024-11-20,BTC,BTC,1.8965426968220012,0.6590729562211913
94217.02229634205,1862618759426.145,80747272080.24826,2024-11-21,BTC,BTC,2.1304441033531463,0.6035463481579351
98509.11859102432,1948284556982.0486,118163852022.3175,2024-11-22,BTC,BTC,4.555542289568737,1.7406826121452725
98927.49494553401,1958091000957.8345,85746174563.98602,2024-11-23,BTC,BTC,0.42470825086420305,1.2227089212569844
97679.46381643033,1931255637661.502,47414200206.70341,2024-11-24,BTC,BTC,-1.2615614393054253,1.0961303734421788
98015.9355289458,1939446484727.4285,50665680246.86775,2024-11-25,BTC,BTC,0.34446515098383035,1.2659528081792206
93004.70093103287,1838788677873.8657,89476321216.0935,2024-11-26,BTC,BTC,-5.112673333034734,0.42535253132167966
91931.83077291827,1819990514406.0881,97389239315.52954,2024-11-27,BTC,BTC,-1.1535655159089053,-0.010377213354164068
95981.18057210564,1899088665519.225,81469353259.75,2024-11-28,BTC,BTC,4.404730945900237,0.31452090700970603
95661.59595817851,1892297852304.72,49067932024.40325,2024-11-29,BTC,BTC,-0.3329659127156104,-0.3838374076023436
97453.2473451042,1926826079390.2441,74670031635.5065,2024-11-30,BTC,BTC,1.872905599138197,-0.17695207213463013
96513.14234698225,1910022814269.8855,43580019720.720634,2024-12-01,BTC,BTC,-0.9646728290057194,-0.13453941352038642
97311.70719084324,1925808416477.5068,49147687432.565895,2024-12-02,BTC,BTC,0.8274156497671603,-0.06554648512276787
95833.1362300365,1896576914275.523,101019861361.49252,2024-12-03,BTC,BTC,-1.519417348117258,0.4477757984368715
96031.63097759831,1900922167493.3643,87935752287.975,2024-12-04,BTC,BTC,0.20712537997853442,0.6421602121350773
98881.4694561823,1957276192604.2603,98230784298.0459,2024-12-05,BTC,BTC,2.967603954626963,0.43685635623889535
97201.50036407741,1920742551503.6094,190460293531.53802,2024-12-06,BTC,BTC,-1.6989726197883193,0.24171254094279407
99973.85150659826,1978389972043.7947,115812632020.44765,2024-12-07,BTC,BTC,2.852169083951117,0.38160732448749696
99781.82999198174,1974739091620.7542,61061136199.7846,2024-12-08,BTC,BTC,-0.19207173848239112,0.4919789088479724
101235.3717025316,2003238967638.8286,62677764785.05408,2024-12-09,BTC,BTC,1.4567198363335976,0.5818795069288919
97353.94700820887,1926047690157.6282,146846843211.51685,2024-12-10,BTC,BTC,-3.834059804440537,0.2512162988827093
96649.71446771531,1913115778728.2837,125835977742.51114,2024-12-11,BTC,BTC,-0.7233733835508183,0.11828790409280174
101123.61811033697,2001746436338.842,118484957960.76833,2024-12-12,BTC,BTC,4.628987956416686,0.35562847577704787
100000.80836535197,1979166149963.3093,100092043319.81221,2024-12-13,BTC,BTC,-1.110333832952748,0.4397197310392724
101352.22971292294,2005406021235.8357,78802903278.85962,2024-12-14,BTC,BTC,1.3514104232373425,0.22532563665159028
101367.01064553364,2007646386698.8667,57321924844.41535,2024-12-15,BTC,BTC,0.014583727119332757,0.2548478460232651
104721.50151808978,2075487816560.1924,70645074624.52869,2024-12-16,BTC,BTC,3.309253031330206,0.5194954453084949
106074.10723541168,2097460193710.789,115184737759.33566,2024-12-17,BTC,BTC,1.2916217755799098,1.2517356710257015
106034.913402645,2100629850064.9119,93417826250.1972,2024-12-18,BTC,BTC,-0.036949481629566794,1.3497962284430234
100355.5761481501,1985284833093.572,113692025885.44745,2024-12-19,BTC,BTC,-5.3561011861525625,-0.07664507763829789
97851.35377075805,1937022229972.2085,100611554887.24123,2024-12-20,BTC,BTC,-2.4953495097224887,-0.27450446003397516
97691.43431692653,1932373308116.0107,112340864006.62827,2024-12-21,BTC,BTC,-0.1634310080228185,-0.4909103787854267
97202.82496847633,1922768195068.165,53058382639.48845,2024-12-22,BTC,BTC,-0.5001557729872985,-0.5644445930863741
95094.27394862173,1884599149192.4587,44619017105.36954,2024-12-23,BTC,BTC,-2.169228127411338,-1.3470847586208805
94644.91085464321,1874912975786.6604,64937790292.61125,2024-12-24,BTC,BTC,-0.4725448497785556,-1.5991085622435182
98695.71400782601,1951173788529.116,49169088282.15742,2024-12-25,BTC,BTC,4.280001023408508,-0.9824013472380789
99344.95417367229,1966481159354.1177,33963749856.44743,2024-12-26,BTC,BTC,0.657820020223765,-0.12326974632717505
95678.31244565405,1894744251986.1084,45049342388.18843,2024-12-27,BTC,BTC,-3.6908182791129063,-0.2940509990972347
94331.94727053077,1867708753554.924,41498540807.666954,2024-12-28,BTC,BTC,-1.407179057310426,-0.4717292918526072
95184.61945288602,1885556552231.4314,22429850903.940086,2024-12-29,BTC,BTC,0.9039060541280897,-0.2711490308361232
93663.44751964067,1854872605738.8086,24065314499.502274,2024-12-30,BTC,BTC,-1.5981278719071734,-0.18956328004981396
92627.28213113277,1833188187477.531,57595164139.4709,2024-12-31,BTC,BTC,-1.106264413650393,-0.2800946463172193
93507.85874741491,1851839954625.13,45327464907.74362,2025-01-01,BTC,BTC,0.9506665811866322,-0.755713852348916
94384.1761153871,1869193319140.2422,23275007789.496334,2025-01-02,BTC,BTC,0.9371590577636146,-0.7158082755575087
96852.14681235075,1917905016063.62,45157338602.617516,2025-01-03,BTC,BTC,2.6148140488575944,0.18499634272399135
98084.34279280754,1942834829349.9563,35721645948.10051,2025-01-04,BTC,BTC,1.2722443652634308,0.5677711173773995
98256.73876849933,1946611205641.351,20979035420.980793,2025-01-05,BTC,BTC,0.17576299211787827,0.46375067994736924
98364.58946599838,1948339898718.8586,20060293834.7155,2025-01-06,BTC,BTC,0.10976417378674164,0.7077352579036429
102229.39453189743,2024825178619.8228,46111387334.46171,2025-01-07,BTC,BTC,3.9290613490894577,1.4270675097236214
96952.09886774956,1919133187081.3127,60610257147.15405,2025-01-08,BTC,BTC,-5.162209644605942,0.5537994774675393
95016.71440989176,1885313354913.7239,65790469838.34392,2025-01-09,BTC,BTC,-1.9962274983833184,0.1347442551608348
92376.27578346101,1832933628117.9436,65850881574.76184,2025-01-10,BTC,BTC,-2.778920154026998,-0.635789202394107
94736.6267420969,1876836759923.398,63433655716.757095,2025-01-11,BTC,BTC,2.555148428118903,-0.4525171934147538
94559.55167224213,1874286243377.8525,17836423168.41627,2025-01-12,BTC,BTC,-0.18691299864076472,-0.5043280492374171
94454.77089638807,1870314882306.9236,19608932595.53299,2025-01-13,BTC,BTC,-0.11080929848023002,-0.535838545275556
94456.3493746993,1870609367804.8223,76328330233.31137,2025-01-14,BTC,BTC,0.0016711472552000117,-1.0968942883947357
96574.07768799194,1912603332624.1123,51241728228.81719,2025-01-15,BTC,BTC,2.2420179557139264,-0.03914748834904014
100313.15239828422,1986831430651.8647,57637319739.543396,2025-01-16,BTC,BTC,3.8717167171633093,0.7991302567290496
100044.57926776377,1980935754458.284,50150102497.2729,2025-01-17,BTC,BTC,-0.2677347128461349,1.1578710340406015
104160.69358484233,2063854663834.0774,69135117732.00064,2025-01-18,BTC,BTC,4.114280201091169,1.380604144465211
104334.61575724394,2067151195362.0425,49416447749.13053,2025-01-19,BTC,BTC,0.1669748601087706,1.4311595528580017
101275.33714814208,2014842808849.5005,72970313683.92325,2025-01-20,BTC,BTC,-2.9321798780760466,1.0281066129157423
101764.90860170545,2017837068202.1384,120158523166.88387,2025-01-21,BTC,BTC,0.48340639226631676,1.096925933631616
106182.2368201815,2098829000928.49,95344290057.8965,2025-01-22,BTC,BTC,4.340718504219265,1.3967402977038075
103673.53509537787,2054288661793.9773,55030669602.56557,2025-01-23,BTC,BTC,-2.3626378572642937,0.5061182156427213
104067.60991206947,2062360759045.0,102455227371.20761,2025-01-24,BTC,BTC,0.3801112948729424,0.5986676453168752
104835.19253555956,2076156720642.786,51418786362.7815,2025-01-25,BTC,BTC,0.7375807171305704,0.11628200475107528
104796.04077738234,2077647817531.3406,22740744964.719296,2025-01-26,BTC,BTC,-0.037346006842065016,0.08709330947238447
102552.24874280207,2036324005947.406,20639818380.26942,2025-01-27,BTC,BTC,-2.141103822182311,0.200104174600061
101958.46953745594,2019295541213.5288,93191643783.24739,2025-01-28,BTC,BTC,-0.5790016431870826,0.04833159810671824
101313.11264498268,2007072201507.5273,45780526813.56264,2025-01-29,BTC,BTC,-0.6329605528613502,-0.6621939814762268
103718.97939813645,2056581551171.7,47425401641.53094,2025-01-30,BTC,BTC,2.3746844710855086,0.01456635114517343
104781.5135100103,2076760153260.6191,42122570869.034325,2025-01-31,BTC,BTC,1.0244355642907044,0.10661267534771086
102382.39409722165,2028504133577.489,37187819228.35328,2025-02-01,BTC,BTC,-2.289639968370427,-0.3258474225810031
100674.78762544956,1996423711261.7268,22827776122.48367,2025-02-02,BTC,BTC,-1.6678712065968604,-0.5587795939745452
97568.31653024875,1933691439792.2544,59784234332.21204,2025-02-03,BTC,BTC,-3.08564951411483,-0.693714692822048
101466.8606657039,2011121374511.8835,122163969235.23686,2025-02-04,BTC,BTC,3.99570708411936,-0.040184874635413426
98118.43921664466,1943535291172.1597,73196693057.98114,2025-02-05,BTC,BTC,-3.3000148295620035,-0.4211926284497924
96582.88682919052,1912584628590.309,48848958931.79228,2025-02-06,BTC,BTC,-1.5649987909649221,-0.9840045230284253
96635.41875332211,1915093756057.5637,44462180396.172516,2025-02-07,BTC,BTC,0.054390509391688546,-1.122582388013999
96558.4563096667,1911296376425.356,57077722340.22422,2025-02-08,BTC,BTC,-0.07964206566111187,-0.8068684019126683
96558.23762501091,1914211835440.1182,20760850644.84597,2025-02-09,BTC,BTC,-0.00022647903057393393,-0.5686334408317703
96548.57865379585,1913068773356.083,25457107581.051964,2025-02-10,BTC,BTC,-0.010003259641677698,-0.1292554044784628
97399.98161383197,1930742951090.367,37054987393.57789,2025-02-11,BTC,BTC,0.8818389373592916,-0.5740937111584724
95739.97737079239,1898788887978.3252,36454577154.5622,2025-02-12,BTC,BTC,-1.7043167930165692,-0.346136848794839
97836.18856127483,1936842454813.9983,47115618235.19051,2025-02-13,BTC,BTC,2.189483691189942,0.19021779151299864
96561.6639990985,1914315097486.3862,29084371910.690556,2025-02-14,BTC,BTC,-1.3027128109943664,-0.0036541113992949142
97488.48148536457,1931656846871.4856,32289906944.92862,2025-02-15,BTC,BTC,0.9598192987589016,0.14484036923213559
97569.95169430465,1934308378710.2861,14215311318.346336,2025-02-16,BTC,BTC,0.08356906138937692,0.15681116072069998
96149.3484548204,1905012222220.3691,13634794998.739267,2025-02-17,BTC,BTC,-1.4559843628242475,-0.04975756830538141
95776.15723852723,1898997753781.9536,25324374113.08163,2025-02-18,BTC,BTC,-0.38813702046928134,-0.23118270513803468
95495.89153299287,1892702154844.508,38311133144.729355,2025-02-19,BTC,BTC,-0.29262575740679475,-0.02951255719378119
96554.87156259285,1914337919659.5537,27703222487.389572,2025-02-20,BTC,BTC,1.1089273188617854,-0.18387775324066066
98384.31738240314,1950376106325.3228,24175261969.81266,2025-02-21,BTC,BTC,1.8947214057701167,0.27289856343997976
96135.15541305285,1906058197506.3809,42477472950.92155,2025-02-22,BTC,BTC,-2.286098058299446,-0.19080391613978417
96564.15414290235,1915260330870.798,18464415570.762142,2025-02-23,BTC,BTC,0.4462454218815859,-0.13899300749804006
96327.46309127835,1909625674815.4763,16643044374.983364,2025-02-24,BTC,BTC,-0.2451127478150239,0.033988651788991894
91396.76686930266,1814176779160.4363,45539703844.38777,2025-02-25,BTC,BTC,-5.118681696520378,-0.6418034447897362
88755.7693356979,1759750360550.3337,96742453402.56294,2025-02-26,BTC,BTC,-2.889596234165903,-1.0127992271838946
83900.11496524839,1664314955447.7466,69277430795.68657,2025-02-27,BTC,BTC,-5.470804215649505,-1.9527608749712217
84709.14477847965,1679555320077.2097,81960688217.70384,2025-02-28,BTC,BTC,0.964277359532062,-2.0856814530052294
84441.9012237131,1674754437110.342,80695237175.07367,2025-03-01,BTC,BTC,-0.3154837124910381,-1.8041651178897429
86005.25629681018,1705564098300.8237,30634474722.6359,2025-03-02,BTC,BTC,1.8513972926252231,-1.6034291363549376
94261.53286538439,1868321705444.4878,61859112550.80991,2025-03-03,BTC,BTC,9.599734858159392,-0.19702233550144932
86124.71418722175,1708198960874.3418,68715362745.4567,2025-03-04,BTC,BTC,-8.63217309417501,-0.6989496780235397
87310.80531078295,1731441668069.6523,65863356680.42408,2025-03-05,BTC,BTC,1.3771785889272525,-0.08941041758166035
90604.08098523637,1797706868227.531,51606642859.81411,2025-03-06,BTC,BTC,3.7718993230345443,1.2309758022303467
90001.40087607042,1782785866811.654,47555759124.64708,2025-03-07,BTC,BTC,-0.6651798711629353,0.9981961978453471
86773.33597555371,1720436931689.2776,63216440874.73251,2025-03-08,BTC,BTC,-3.586682950592812,0.5308820209736651
86142.9833586432,1708605516770.228,18809360803.37126,2025-03-09,BTC,BTC,-0.72643584555524,0.1626201440907418
80751.13893300897,1602073794580.0344,32013406240.51754,2025-03-10,BTC,BTC,-6.259180046256474,-2.1029391279686678
78783.94057934263,1563547150147.7332,49983692766.22745,2025-03-11,BTC,BTC,-2.436124591751365,-1.2177893419081467
82799.1080292053,1642997419531.6057,56404462275.083046,2025-03-12,BTC,BTC,5.0964288157419935,-0.6864678809346125
83884.24578828987,1662502658717.542,41782186208.59073,2025-03-13,BTC,BTC,1.3105669673419973,-1.0380867888906906
81098.90052436228,1608477373718.186,32583592654.882656,2025-03-14,BTC,BTC,-3.3204629042709044,-1.4174129364775434
83971.70916064628,1665725559905.8198,28571483950.074646,2025-03-15,BTC,BTC,3.542352137586624,-0.3989793524519096
84391.69087647168,1674173293916.4658,10761796127.312485,2025-03-16,BTC,BTC,0.500146680380098,-0.22375327731828992
82610.61750343916,1638672153483.722,21638031633.118767,2025-03-17,BTC,BTC,-2.110484284098013,0.3689175458472045
84075.36559694471,1667799227887.438,19659366246.596867,2025-03-18,BTC,BTC,1.7730748634636084,0.9702317537350578
82780.03048688271,1642578274105.806,24557570268.85276,2025-03-19,BTC,BTC,-1.5406832915503599,0.022072881264721733
86815.44109470697,1721565138141.278,33871216993.304657,2025-03-20,BTC,BTC,4.87486001646702,0.5312576025682963
84270.84358966233,1672550706502.8184,27579127651.06656,2025-03-21,BTC,BTC,-2.93104253455182,0.586889083956737
84009.532917822,1666749159154.2927,18091004975.919056,2025-03-22,BTC,BTC,-0.3100843194506542,0.03654101866569727
83793.30854192551,1662574363663.653,7771134681.982918,2025-03-23,BTC,BTC,-0.25738076190472414,-0.07167718737499161
85787.70914901773,1702009594329.4495,12617587530.619724,2025-03-24,BTC,BTC,2.380143046976513,0.5698410027785121
87327.72969669085,1732715331970.134,27270889835.1835,2025-03-25,BTC,BTC,1.7951528988820797,0.5729950078382936
87520.58391530563,1735368473904.4885,30351832942.705593,2025-03-26,BTC,BTC,0.22083961106582617,0.8246411367834633
86960.8555491039,1724854479045.6724,25522877558.700558,2025-03-27,BTC,BTC,-0.6395391131569506,0.03686983255146746
87227.27158032371,1729729987159.4822,24620445368.489468,2025-03-28,BTC,BTC,0.30636316712566725,0.499356361362537
84359.46915506005,1673182800974.1038,31674486232.097313,2025-03-29,BTC,BTC,-3.287736017998477,0.07397754728427662
82679.17255385047,1640665503855.1438,16837439419.924389,2025-03-30,BTC,BTC,-1.9918292730375708,-0.1738008114489872
82356.38111183756,1633996304187.2593,13428975108.070734,2025-03-31,BTC,BTC,-0.39041445631627925,-0.5695947404908146
82514.09365397849,1635076581047.3545,30326148749.91535,2025-04-01,BTC,BTC,0.1915000878034645,-0.7986879992163312
85237.5876052852,1690602036035.04,29172899851.734768,2025-04-02,BTC,BTC,3.300640933811416,-0.35871638168124687
82526.4221526433,1637358764747.381,46332905657.77597,2025-04-03,BTC,BTC,-3.180715842401194,-0.7217416287161387
83163.98757387721,1652537223074.958,36594464539.14662,2025-04-04,BTC,BTC,0.7725591448211055,-0.6551422033310761
83852.00765399594,1664234880198.049,35647289400.47406,2025-04-05,BTC,BTC,0.8273053038823308,-0.06727915734810352
83595.88550177493,1656020067997.187,14910400035.531416,2025-04-06,BTC,BTC,-0.305445462054843,0.17363281564942903
78211.48358199988,1555325260787.2627,36140377231.68329,2025-04-07,BTC,BTC,-6.440989155693222,-0.690734998547277
79179.29226757778,1581407565278.352,82909748172.59216,2025-04-08,BTC,BTC,1.2374253002926494,-0.5413171110488221
76329.090356324,1515042499757.3254,47812787635.22632,2025-04-09,BTC,BTC,-3.5996809640857053,-1.5270773821769823
82622.17029546302,1640567909122.172,87408220482.11568,2025-04-10,BTC,BTC,8.244667805893258,0.10512028186508207
79596.35732250768,1580023209138.0547,41213520154.25157,2025-04-11,BTC,BTC,-3.662228869242723,-0.5284208630011791
83439.28818043756,1655868880454.1702,39813566443.76779,2025-04-12,BTC,BTC,4.828023526703795,0.04311031168760161
85305.09728392666,1693600655371.0874,22428929482.069122,2025-04-13,BTC,BTC,2.236127781260877,0.40619220358984726
83600.82010054543,1658923208081.8682,28731125717.934357,2025-04-14,BTC,BTC,-1.997860898873105,1.0409248117070067
84523.4524914945,1677843510120.269,33155578229.343513,2025-04-15,BTC,BTC,1.1036164356275968,1.0218092596119992
83656.49248858042,1660749023283.0562,25084671427.622566,2025-04-16,BTC,BTC,-1.0257034909942009,1.3895203271964998
84105.77942167096,1670497569762.047,26948109141.803364,2025-04-17,BTC,BTC,0.5370616430659725,0.28843373250688764
84930.90857600998,1686226810049.1836,19323821375.14309,2025-04-18,BTC,BTC,0.9810611827305804,0.9517608827887881
84433.75017215389,1676373197914.5117,9550691272.782005,2025-04-19,BTC,BTC,-0.5853680505621295,0.17841922889365605
85126.66244301842,1690090596771.3958,12635983530.804455,2025-04-20,BTC,BTC,0.8206579353063681,-0.023790749099845243
85073.16544858096,1689008667806.3804,12625843856.313684,2025-04-21,BTC,BTC,-0.0628439937643166,0.2526402373442674
87452.04699068287,1735703747771.06,40070025414.28289,2025-04-22,BTC,BTC,2.796277215686449,0.49444892020981773
93576.16588573981,1858587811717.8286,53841992235.36636,2025-04-23,BTC,BTC,7.002830815051597,1.6413823925020747
93605.45230873208,1858660302322.256,39901515879.65954,2025-04-24,BTC,BTC,0.031296882828080186,1.5691302838966614
93872.81422867288,1864298110563.3408,30031246761.093452,2025-04-25,BTC,BTC,0.2856264387879559,1.4697824633334293
94773.11200643536,1882121595175.8462,39336184715.04292,2025-04-26,BTC,BTC,0.9590612417023747,1.6904152193712159
94644.06637120107,1879131951239.1846,15445392739.787264,2025-04-27,BTC,BTC,-0.13616270744124526,1.5537265561215567
93809.33781968223,1862772247122.064,15926259371.057959,2025-04-28,BTC,BTC,-0.8819660687918618,1.4367091168319075
95030.60645474444,1887067388174.3481,31913814736.53902,2025-04-29,BTC,BTC,1.301862547425392,1.2232213070803277
94256.35946318062,1870818389258.4038,25882629766.278946,2025-04-30,BTC,BTC,-0.8147343476467617,0.106426283837705
94235.75331048167,1871350362569.0933,26541700309.366146,2025-05-01,BTC,BTC,-0.021861816875068385,0.09883218388011235
96426.94522273027,1914884389769.3945,30207566405.468834,2025-05-02,BTC,BTC,2.3252235327595905,0.39020319730463154
96855.5681343944,1923251765866.1472,23276376191.483967,2025-05-03,BTC,BTC,0.44450533061488606,0.3166952100064189
95922.86842404422,1904894886394.57,13797554863.642815,2025-05-04,BTC,BTC,-0.9629799590416765,0.19857845977778585
94326.62048529249,1872812442453.0322,14903122945.616686,2025-05-05,BTC,BTC,-1.6640952934134923,0.08684571340326722
94758.8237105546,1882511286487.958,24086456278.203846,2025-05-06,BTC,BTC,0.45819856901319067,-0.03367771208419011
96854.53198815876,1923643840814.599,23348052607.071873,2025-05-07,BTC,BTC,2.2116233565811383,0.39865910280550987
97026.49376966801,1927134557858.269,64376174032.08048,2025-05-08,BTC,BTC,0.17754644824494736,0.427145997822655
103076.27555512934,2047883753852.6929,50020047720.65604,2025-05-09,BTC,BTC,6.23518541216479,0.9857119805948263
102962.54045692299,2045046445523.5242,40800894903.23446,2025-05-10,BTC,BTC,-0.11034071380034982,0.9064482599640782
104630.8792994166,2077132539531.3464,21558992540.042442,2025-05-11,BTC,BTC,1.6203357406392005,1.2754933599184892
103994.061616746,2065659960471.3655,27389436049.454792,2025-05-12,BTC,BTC,-0.6086326397470643,1.4262737390136933
102876.8304286011,2044347271866.1707,43090605819.36596,2025-05-13,BTC,BTC,-1.074322101450642,1.207342214661717
104184.49039270742,2069356072124.024,33861432519.50822,2025-05-14,BTC,BTC,1.271092780228944,1.072980703754261
103594.42575090709,2057798367292.5637,28398245846.798244,2025-05-15,BTC,BTC,-0.5663651466510711,0.9667076187691153
103708.85136423641,2060142559914.034,31823340473.339912,2025-05-16,BTC,BTC,0.11045537682159434,0.09174618514865893
103556.03493982446,2057725640290.0767,25887953182.14765,2025-05-17,BTC,BTC,-0.14735138071797493,0.08645894701756962
103212.36483885496,2050318521477.805,18950056010.479057,2025-05-18,BTC,BTC,-0.331868732874141,-0.19242740634147917
106030.6376831359,2104889720872.8306,30744060179.802963,2025-05-19,BTC,BTC,2.7305573791290394,0.28459973921224996
105629.41580436694,2098485415895.0496,43339734153.75087,2025-05-20,BTC,BTC,-0.3784018351072893,0.3840169201184432
106786.71995834043,2121778617273.821,36393687094.25122,2025-05-21,BTC,BTC,1.0956267675633846,0.35895034688050614
109665.86371625263,2178838967665.505,60722883113.84,2025-05-22,BTC,BTC,2.6961627429285207,0.8250257596775906
111560.356938144,2214712145787.249,52218408239.45193,2025-05-23,BTC,BTC,1.727514066540481,1.056034143923146
107216.66856870624,2131595896624.4407,49251745837.96465,2025-05-24,BTC,BTC,-3.89357697362529,0.5208590592221009
107831.36374380375,2142540077685.2197,27128230116.517162,2025-05-25,BTC,BTC,0.5733205324353063,0.6501718114091648
108861.81037744327,2163072841533.6133,29652659665.048733,2025-05-26,BTC,BTC,0.9556093866045723,0.39660781247709803
109377.71513263129,2173059855839.4187,27950577137.918888,2025-05-27,BTC,BTC,0.47390793281802956,0.5183663507521435
109068.45694901445,2167551887130.0073,38978783508.88622,2025-05-28,BTC,BTC,-0.282743320466905,0.3214563381763879
107838.18431100152,2143342706888.307,29794278037.284946,2025-05-29,BTC,BTC,-1.127982069635436,-0.224850063618463
